Column 3| A:0	C:0	G:0	T:0	-:94	
Likelihood	Scale	Scale2
-7.691623	1.000000	1.000000
-7.691623	1.000000	1.000000
-7.691622	1.000001	1.000000
-7.691621	1.000002	1.000000
-7.135552	1.744025	1.000000
-7.135551	1.744026	1.000000
-7.135551	1.744027	1.000000
-6.767727	2.519729	1.000000
-6.767727	2.519730	1.000000
-6.767726	2.519731	1.000000
-6.524369	3.214355	1.000000
-6.524369	3.214356	1.000000
-6.524368	3.214357	1.000000
-6.188867	4.496707	1.000000
-6.188867	4.496708	1.000000
-6.188866	4.496709	1.000000
-6.090008	4.964358	1.000000
-6.090007	4.964359	1.000000
-6.090007	4.964360	1.000000
-5.875914	6.150778	1.000000
-5.875914	6.150779	1.000000
-5.875914	6.150780	1.000000
-5.849879	6.313189	1.000000
-5.849879	6.313190	1.000000
-5.849879	6.313191	1.000000
-5.643582	7.761563	1.000000
-5.643582	7.761564	1.000000
-5.643582	7.761565	1.000000
-5.627162	7.890233	1.000000
-5.627162	7.890234	1.000000
-5.627162	7.890235	1.000000
-5.611270	8.016802	1.000000
-5.611270	8.016803	1.000000
-5.611270	8.016804	1.000000
-5.520572	8.779036	1.000000
-5.520572	8.779037	1.000000
-5.520572	8.779038	1.000000
-5.507719	8.892774	1.000000
-5.507719	8.892775	1.000000
-5.507719	8.892776	1.000000
-5.495191	9.005054	1.000000
-5.495191	9.005055	1.000000
-5.495191	9.005056	1.000000
-5.436258	9.552590	1.000000
-5.436258	9.552591	1.000000
-5.436258	9.552592	1.000000
-5.425395	9.657103	1.000000
-5.425395	9.657104	1.000000
-5.425395	9.657105	1.000000
-5.274766	11.230020	1.000000
-5.274766	11.230021	1.000000
-5.274766	11.230022	1.000000
-5.162731	12.564229	1.000000
-5.162731	12.564230	1.000000
-5.162731	12.564231	1.000000
-5.060558	13.919059	1.000000
-5.060558	13.919060	1.000000
-5.060558	13.919061	1.000000
-5.018613	14.516808	1.000000
-5.018613	14.516809	1.000000
-5.018613	14.516810	1.000000
-4.982115	15.057822	1.000000
-4.982115	15.057823	1.000000
-4.982115	15.057824	1.000000
-4.977737	15.124061	1.000000
-4.977737	15.124062	1.000000
-4.977737	15.124063	1.000000
-3.214541	89.374873	1.000000
-3.214541	89.374874	1.000000
-3.214541	89.374875	1.000000
-3.213831	89.439390	1.000000
-3.213831	89.439391	1.000000
-3.213831	89.439392	1.000000
-3.213710	89.450384	1.000000
-3.213710	89.450385	1.000000
-3.213710	89.450386	1.000000
-3.213122	89.503962	1.000000
-3.213122	89.503963	1.000000
-3.213122	89.503964	1.000000
-3.179735	92.596168	1.000000
-3.179735	92.596169	1.000000
-3.179735	92.596170	1.000000
-3.179133	92.652930	1.000000
-3.179133	92.652931	1.000000
-3.179133	92.652932	1.000000
-3.175670	92.980073	1.000000
-3.175670	92.980074	1.000000
-3.175670	92.980075	1.000000
-3.174972	93.046174	1.000000
-3.174972	93.046175	1.000000
-3.174972	93.046176	1.000000
-3.174860	93.056734	1.000000
-3.174860	93.056735	1.000000
-3.174860	93.056736	1.000000
-3.174749	93.067292	1.000000
-3.174749	93.067293	1.000000
-3.174749	93.067294	1.000000
-3.174637	93.077850	1.000000
-3.174637	93.077851	1.000000
-3.174637	93.077852	1.000000
-3.174307	93.109127	1.000000
-3.174307	93.109128	1.000000
-3.174307	93.109129	1.000000
-3.174196	93.119680	1.000000
-3.174196	93.119681	1.000000
-3.174196	93.119682	1.000000
-3.169956	93.522385	1.000000
-3.169956	93.522386	1.000000
-3.169956	93.522387	1.000000
-3.169846	93.532890	1.000000
-3.169846	93.532891	1.000000
-3.169846	93.532892	1.000000
