Column 3| A:0	C:0	G:0	T:0	-:94	
Likelihood	Scale	Scale2
-7.691623	1.000000	1.000000
-7.691623	1.000000	1.000000
-7.691623	1.000000	1.000001
-7.691623	1.000000	1.000002
-7.691171	1.000000	0.980321
-7.691171	1.000000	0.980322
-7.691171	1.000000	0.980323
-7.690645	1.000000	0.957389
-7.690645	1.000000	0.957390
-7.690646	1.000000	0.957391
-7.690120	1.000000	0.934457
-7.690120	1.000000	0.934458
-7.690120	1.000000	0.934459
-7.678278	1.000000	0.418074
-7.678278	1.000000	0.418075
-7.678278	1.000000	0.418076
-7.677752	1.000000	0.395141
-7.677752	1.000000	0.395142
-7.677752	1.000000	0.395143
-7.676391	1.000000	0.335786
-7.676391	1.000000	0.335787
-7.676391	1.000000	0.335788
-7.675865	1.000000	0.312853
-7.675865	1.000000	0.312854
-7.675865	1.000000	0.312855
-7.675339	1.000000	0.289920
-7.675339	1.000000	0.289921
-7.675339	1.000000	0.289922
-7.674570	1.000000	0.256388
-7.674570	1.000000	0.256389
-7.674570	1.000000	0.256390
-7.672792	1.000000	0.178852
-7.672792	1.000000	0.178853
-7.672792	1.000000	0.178854
-7.672266	1.000000	0.155919
-7.672266	1.000000	0.155920
-7.672266	1.000000	0.155921
-7.671925	1.000000	0.141055
-7.671925	1.000000	0.141056
-7.671925	1.000000	0.141057
-7.671399	1.000000	0.118121
-7.671399	1.000000	0.118122
-7.671399	1.000000	0.118123
-7.670873	1.000000	0.095188
-7.670873	1.000000	0.095189
-7.670873	1.000000	0.095190
-7.670347	1.000000	0.072256
-7.670347	1.000000	0.072257
-7.670347	1.000000	0.072258
-7.669821	1.000000	0.049323
-7.669821	1.000000	0.049324
-7.669821	1.000000	0.049325
-7.669295	1.000000	0.026390
-7.669295	1.000000	0.026391
-7.669295	1.000000	0.026392
-7.668690	1.000000	0.000001
-7.668690	1.000000	0.000002
-7.668690	1.000000	0.000003
-7.668690	1.000000	0.000001
Column 5| A:0	C:0	G:0	T:0	-:58	
Likelihood	Scale	Scale2
-111.900207	1.000000	1.000000
-111.900207	1.000000	1.000000
-111.900187	1.000000	1.000001
-111.900169	1.000000	1.000002
-111.900067	1.000000	1.000007
Column 6| A:0	C:0	G:0	T:0	-:51	
Likelihood	Scale	Scale2
-90.915802	1.000000	1.000000
-90.915802	1.000000	1.000000
-90.915786	1.000000	1.000001
-90.915773	1.000000	1.000002
-90.915714	1.000000	1.000006
Column 7| A:0	C:0	G:0	T:0	-:27	
Likelihood	Scale	Scale2
-58.857607	1.000000	1.000000
-58.857607	1.000000	1.000000
-58.857596	1.000000	1.000001
-58.857586	1.000000	1.000002
-55.187548	1.000000	1.422630
-55.187541	1.000000	1.422631
-55.187534	1.000000	1.422632
-50.588115	1.000000	2.242344
-50.588111	1.000000	2.242345
-50.588106	1.000000	2.242346
-40.870393	1.000000	6.650499
-40.870392	1.000000	6.650500
-40.870391	1.000000	6.650501
-40.066301	1.000000	7.419255
-40.066300	1.000000	7.419256
-40.066299	1.000000	7.419257
-39.348678	1.000000	8.230008
-39.348677	1.000000	8.230009
-39.348676	1.000000	8.230010
-37.726923	1.000000	10.773590
-37.726923	1.000000	10.773591
-37.726922	1.000000	10.773592
-37.598196	1.000000	11.043187
-37.598196	1.000000	11.043188
-37.598195	1.000000	11.043189
-37.391931	1.000000	11.507960
-37.391931	1.000000	11.507961
-37.391930	1.000000	11.507962
-37.112288	1.000000	12.217313
-37.112288	1.000000	12.217314
-37.112287	1.000000	12.217315
-36.999578	1.000000	12.535438
-36.999577	1.000000	12.535439
-36.999577	1.000000	12.535440
-36.947156	1.000000	12.690978
